2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T12:09:14, 2026-03-28T12:24:01, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 882.259949, 98.3687, 3.41668e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T12:24:02, 2026-03-28T12:39:01, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 894.444885, 96.9594, 3.45075e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T12:39:02, 2026-03-28T12:53:54, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 888.321655, 97.502, 3.33655e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T12:53:54, 2026-03-28T13:08:46, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 884.537354, 98.0018, 3.21602e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T07:34:37, 2026-03-28T07:43:39, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 50, 50, 0, 0, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 540.291626, 160.584, 2.15668e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T07:43:40, 2026-03-28T07:52:43, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 50, 50, 0, 0, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 540.459351, 160.618, 2.10358e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T07:52:43, 2026-03-28T08:01:54, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 50, 50, 0, 0, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 544.352722, 159.643, 2.33984e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T08:01:54, 2026-03-28T08:10:57, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 50, 50, 0, 0, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 538.792908, 161.353, 2.04283e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T08:10:58, 2026-03-28T08:20:06, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 50, 50, 0, 0, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 543.279907, 159.665, 2.12798e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T06:09:33, 2026-03-28T06:18:00, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 500, 500, 0, 0, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 500.876892, 173.318, 2.00834e-05
